Time (minutes),glu,la,vc
43.25,154.5,38.31326,24.79048
43.5,154.9,38.39783,24.96497
43.75,155.2,38.47853,25.13719
44,155.5,38.55496,25.30712
44.25,156,38.62669,25.47482
44.5,156.4,38.6933,25.64033
44.75,156.7,38.75438,25.8037
45,157,38.80952,25.96498
45.25,157.3394,38.85851,26.12421
45.5,157.5714,38.90158,26.28144
45.75,157.7931,38.93896,26.43673
46,158.0048,38.97087,26.59012
46.25,158.2079,38.99758,26.74159
46.5,158.4062,39.0193,26.89104
46.75,158.6039,39.03628,27.03834
47,158.805,39.04876,27.18338
47.25,159.0134,39.05697,27.32605
47.5,159.2333,39.06115,27.46621
47.75,159.4687,39.06153,27.60375
48,159.7237,39.05831,27.73856
48.25,160.0022,39.05168,27.87051
48.5,160.3084,39.04185,27.99948
48.75,160.6425,39.02902,28.12572
49,160.9993,39.01337,28.25002
49.25,161.3726,38.99513,28.37325
49.5,161.7565,38.97447,28.49627
49.75,162.1449,38.9516,28.61994
50,162.5318,38.92673,28.74512
50.25,162.9113,38.9002,28.87268
50.5,163.2773,38.87261,29.00347
50.75,163.6238,38.84461,29.13836
51,163.9448,38.8168,29.2782
51.25,164.2367,38.78983,29.42304
51.5,164.4996,38.76431,29.57165
51.75,164.7341,38.74088,29.72266
52,164.9407,38.72016,29.8747
52.25,165.12,38.70278,30.0264
52.5,165.2726,38.68936,30.1764
52.75,165.3989,38.67994,30.32332
53,165.4996,38.6736,30.46581
53.25,165.5751,38.66933,30.60248
53.5,165.6261,38.66612,30.73199
53.75,165.654,38.66295,30.85378
54,165.6622,38.65882,30.96864
54.25,165.6538,38.65271,31.07747
54.5,165.6324,38.64362,31.18119
54.75,165.6011,38.63052,31.28069
55,165.5635,38.61243,31.37689
55.25,165.5227,38.58899,31.47071
55.5,165.4823,38.56092,31.56304
55.75,165.4455,38.52905,31.6548
56,165.4156,38.49421,31.74689
56.25,165.3947,38.45722,31.83976
56.5,165.3825,38.4189,31.93313
56.75,165.3788,38.3801,32.02665
57,165.383,38.34163,32.11995
57.25,165.3948,38.30432,32.21269
57.5,165.4138,38.26899,32.30449
57.75,165.4396,38.23601,32.39502
58,165.4717,38.20497,32.4839
58.25,165.5099,38.1754,32.57079
58.5,165.5536,38.14684,32.65533
58.75,165.6019,38.1188,32.73738
59,165.6524,38.09083,32.81714
59.25,165.7028,38.06244,32.89486
59.5,165.7508,38.03317,32.97077
59.75,165.794,38.00254,33.04512
60,165.83,37.97008,33.11815
60.25,165.8566,37.9355,
60.5,165.8714,37.89878,
60.75,165.8721,37.85994,
61,165.8563,37.81899,
61.25,165.823,37.77593,
61.5,165.7739,37.73079,
61.75,165.7105,37.68357,
62,165.6346,37.63429,
62.25,165.5478,37.58296,
62.5,165.4518,37.5296,
62.75,165.3483,37.47423,
63,165.2389,37.41695,
63.25,165.1255,37.35784,
63.5,165.0095,37.29698,
63.75,164.892,37.23445,
64,164.7724,37.17035,
64.25,164.6503,37.10475,
64.5,164.5251,37.03774,
64.75,164.3963,36.96941,
65,164.2632,36.89985,
65.25,164.1254,36.82923,
65.5,163.9824,36.75793,
65.75,163.8335,36.68632,
66,163.6783,36.61478,
66.25,163.5161,36.5437,
66.5,163.3467,36.47345,
66.75,163.1696,36.4044,
67,162.9844,36.33694,
67.25,162.7907,36.27146,
67.5,162.588,36.20831,
67.75,162.376,36.14766,
68,162.1542,36.08931,
68.25,161.9223,36.03302,
68.5,161.6797,35.97855,
68.75,161.4268,35.92566,
69,161.1646,35.87412,
69.25,160.8943,35.82367,
69.5,160.6171,35.7741,
69.75,160.3342,35.72515,
70,160.0468,35.67659,
70.25,159.7561,35.62819,
70.5,159.4634,35.57972,
70.75,159.1697,35.53097,
71,158.8764,35.48172,
71.25,158.5834,35.43175,
71.5,158.2887,35.38083,
71.75,157.9903,35.32875,
72,157.686,35.27529,
72.25,157.3737,35.22023,
72.5,157.0511,35.16335,
72.75,156.7163,35.10473,
73,156.3671,35.04495,
73.25,156.0013,34.98464,
73.5,155.6169,34.92442,
73.75,155.2137,34.86491,
74,154.7949,34.80674,
74.25,154.3641,34.75054,
74.5,153.9248,34.69692,
74.75,153.4805,34.64651,
75,153.0348,34.59993,
75.25,152.5912,34.55737,
75.5,152.1532,34.5183,
75.75,151.7243,34.48212,
76,151.3081,34.44823,
76.25,150.9066,34.41603,
76.5,150.5199,34.38493,
76.75,150.1475,34.35434,
77,149.7892,34.32365,
77.25,149.4447,34.29226,
77.5,149.1136,34.25959,
77.75,148.7956,34.22542,
78,148.4905,34.19012,
78.25,148.1978,34.15414,
78.5,147.9173,34.11794,
78.75,147.6484,34.08195,
79,147.39,34.04663,
79.25,147.141,34.01241,
79.5,146.9003,33.97974,
79.75,146.6667,33.94908,
80,146.4391,33.92085,
80.25,146.2165,33.89516,
80.5,145.9977,33.87148,
80.75,145.7816,33.84928,
81,145.567,33.82798,
81.25,145.3532,33.80704,
81.5,145.1395,33.78589,
81.75,144.9256,33.76398,
82,144.7111,33.74075,
82.25,144.4953,33.71564,
82.5,144.278,33.6881,
82.75,144.0586,33.65793,
83,143.8368,33.62552,
83.25,143.6119,33.59133,
83.5,143.3837,33.5558,
83.75,143.1525,33.51937,
84,142.9204,33.4825,
84.25,142.6894,33.44563,
84.5,142.4617,33.4092,
84.75,142.2393,33.37368,
85,142.0244,33.33949,
85.25,141.819,33.30678,
85.5,141.6254,33.27512,
85.75,141.4455,33.24409,
86,141.2816,33.21322,
86.25,141.1341,33.18207,
86.5,141.0012,33.15019,
86.75,140.881,33.11713,
87,140.7713,33.08244,
87.25,140.67,33.04566,
87.5,140.5751,33.00636,
87.75,140.4845,32.96443,
88,140.3962,32.92031,
88.25,140.308,32.87451,
88.5,140.2179,32.82752,
88.75,140.1245,32.77985,
89,140.0275,32.73201,
89.25,139.9265,32.68448,
89.5,139.8214,32.63778,
89.75,139.7119,32.5924,
90,139.5978,32.54884,
90.25,139.4788,32.50717,
90.5,139.3546,32.46673,
90.75,139.225,32.4268,
91,139.0899,32.38666,
91.25,138.949,32.34558,
91.5,138.8027,32.30286,
91.75,138.6514,32.25776,
92,138.4952,32.20956,
92.25,138.3346,32.15755,
92.5,138.1698,32.10101,
92.75,138.0012,32.03991,
93,137.8289,31.97533,
93.25,137.6535,31.90847,
93.5,137.475,31.84053,
93.75,137.294,31.7727,
94,137.1107,31.70618,
